material_category,material_grade,thickness_mm,reference_basis,sample_count_band,recommended_price_per_kg_ex_tax_rounded,conservative_price_per_kg_ex_tax_rounded,recommended_price_per_kg_inc_tax_rounded,conservative_price_per_kg_inc_tax_rounded,recommended_price_per_m2_ex_tax_rounded,conservative_price_per_m2_ex_tax_rounded,recommended_price_per_m2_inc_tax_rounded,conservative_price_per_m2_inc_tax_rounded,pricing_mode_default,editable,confidence_band,warning,notes
plate,XS62,3.2,cut_or_shaped_plate_bounding_box,2-5,570,740,630,820,14160,18410,15580,20260,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SUS304,4,insufficient_data,1,1270,1650,1400,1820,40160,52210,44180,57440,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,4.5,cut_or_shaped_plate_bounding_box,6-20,280,550,310,610,9660,19320,10630,21260,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,6,cut_or_shaped_plate_bounding_box,2-5,270,360,300,400,12720,16540,14000,18200,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SUS304,6,insufficient_data,1,1250,1630,1380,1800,59390,77210,65330,84940,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,9,insufficient_data,1,260,340,290,380,18340,23840,20180,26230,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,12,cut_or_shaped_plate_bounding_box,21+,300,600,330,660,27840,55680,30630,61250,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,16,cut_or_shaped_plate_bounding_box,2-5,320,410,360,460,39490,51330,43440,56470,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,19,cut_or_shaped_plate_bounding_box,2-5,260,340,290,380,38020,49430,41830,54380,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SUS304,20,cut_or_shaped_plate_bounding_box,2-5,1200,1550,1320,1710,188890,245560,207780,270120,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,22,insufficient_data,1,210,270,240,300,34670,45070,38140,49580,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,25,insufficient_data,1,210,270,240,300,39370,51180,43310,56300,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,32,insufficient_data,1,210,270,240,300,50800,66040,55880,72650,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,36,insufficient_data,1,210,270,240,300,57380,74600,63120,82060,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,40,cut_or_shaped_plate_bounding_box,2-5,360,490,400,540,111040,153500,122150,168850,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
